t,x
0,409.38
1,537.78
1,634.59
2,707.94
2,760.95
3,798.72
5,830.04
15,853.03
26,870.02
38,885.77
50,895.82
61,892.37
72,890.78
83,886.33
95,886.75
107,886.81
119,891.36
132,888.52
144,882.14
156,886.85
168,885.89
182,884.92
194,883.19
206,884.39
219,886.54
231,885.66
244,881.24
257,885.43
269,884.32
281,884.49
293,885.37
307,884.03
319,887.52
331,887.64
344,882.98
356,884.49
368,885.61
381,896.46
394,904.60
406,910.20
418,917.90
431,918.42
444,916.57
456,920.68
468,922.01
481,924.50
493,923.38
506,923.28
519,925.46
531,926.10
543,925.57
556,926.43
568,926.32
581,928.24
593,927.18
606,923.64
618,925.23
630,922.92
644,921.19
656,922.14
668,924.86
680,925.14
693,925.61
706,913.46
718,908.09
731,901.82
743,893.61
755,889.46
768,887.60
781,891.20
793,888.65
805,887.24
818,886.68
830,885.76
843,882.32
856,881.49
868,882.37
880,886.52
892,885.39
906,882.30
918,886.72
930,885.04
943,883.53
955,885.90
967,885.67
980,889.51
993,885.38
1005,883.78
1018,886.59
1032,895.94
1046,902.21
1059,912.65
1073,915.74
1086,916.56
1099,922.42
1114,924.06
1127,923.80
1140,927.10
1154,924.82
1167,924.12
1181,924.84
1195,924.38
1208,923.78
1221,925.84
1234,925.63
1249,926.47
1262,924.60
1275,925.70
1289,926.78
1303,927.33
1316,927.75
1330,928.81
1343,916.11
1356,905.83
1371,899.87
1384,893.16
1397,891.12
1411,888.84
1424,885.13
1438,887.60
1452,885.70
1465,880.27
1478,884.70
1491,883.53
1506,878.65
1519,881.48
1532,880.86
1546,876.65
1559,880.49
1573,881.36
1587,878.02
1600,880.52
1613,878.14
1627,878.35
1641,881.27
1654,884.20
1668,893.90
1681,906.17
1694,912.13
1709,914.10
1722,918.32
1735,919.24
1748,916.68
1762,918.26
1776,919.45
1789,920.83
1803,920.63
1816,920.97
1829,923.23
1844,923.17
1857,925.88
1870,928.16
1884,927.37
1897,928.78
1911,926.83
1925,925.62
1938,927.47
1951,924.35
1965,924.51
1979,917.39
1992,910.29
2006,903.22
2019,901.16
2032,894.87
2046,889.15
2060,891.12
2073,888.59
2086,884.19
2100,886.89
2114,883.42
2127,880.56
2141,885.17
2154,885.38
2168,883.79
2182,888.34
2195,886.75
2208,885.32
2222,887.24
2236,884.93
2249,884.20
